date,price,type,bedrooms
12/6/2011,378250,house,3
12/6/2011,595000,house,3
12/6/2011,600000,house,4
12/6/2011,672000,house,4
12/8/2011,314000,house,3
12/8/2011,350000,house,3
12/8/2011,355000,house,3
12/8/2011,365000,house,3
12/8/2011,431000,house,4
12/8/2011,470000,house,4
12/8/2011,525000,house,4
12/8/2011,610000,house,4
12/8/2011,855000,house,4
12/9/2011,490000,house,4
12/9/2011,540000,house,4
12/9/2011,695000,house,4
12/10/2011,335000,house,3
12/10/2011,340000,house,3
12/10/2011,385000,house,3
12/10/2011,392000,house,3
12/10/2011,420000,house,3
12/10/2011,435000,house,2
12/10/2011,435000,house,4
12/10/2011,440000,house,3
12/10/2011,480000,house,4
12/10/2011,600000,house,4
12/11/2011,520000,house,4
12/12/2011,351000,house,4
12/12/2011,355000,house,2
12/12/2011,455000,house,3
12/12/2011,470000,house,4
12/12/2011,525000,house,5
12/12/2011,665000,house,3
12/12/2011,805000,house,4
12/13/2011,775000,house,4
12/15/2011,360000,house,3
12/15/2011,373500,house,3
12/15/2011,398000,house,3
12/15/2011,405000,house,3
12/15/2011,472000,house,4
12/15/2011,505000,house,4
12/15/2011,530000,house,4
12/15/2011,625000,house,2
12/16/2011,362500,house,3
12/16/2011,413000,house,3
12/16/2011,420000,house,4
12/16/2011,520000,house,4
12/16/2011,585000,house,4
12/17/2011,378500,house,3
12/17/2011,600000,house,4
12/17/2011,720000,house,4
12/18/2011,416500,house,3
12/18/2011,420000,house,4
12/18/2011,431600,house,4
12/19/2011,339950,house,3
12/19/2011,350000,house,3
12/19/2011,380000,house,3
12/19/2011,428250,house,3
12/19/2011,439000,house,3
12/19/2011,472000,house,4
12/19/2011,499000,house,4
12/19/2011,527000,house,5
12/19/2011,550000,house,4
12/19/2011,716000,house,3
12/19/2011,900000,house,4
12/20/2011,495000,house,3
12/20/2011,540000,house,3
12/20/2011,1375000,house,4
12/20/2011,3500000,house,5
12/22/2011,379000,house,3
12/22/2011,390000,house,4
12/22/2011,399500,house,3
12/22/2011,456000,house,3
12/22/2011,490000,house,4
12/22/2011,585000,house,4
12/22/2011,630000,house,4
12/22/2011,855000,house,3
12/23/2011,355000,house,3
12/23/2011,361500,house,3
12/23/2011,381000,house,3
12/23/2011,390000,house,3
12/23/2011,395000,house,3
12/23/2011,444000,house,4
12/23/2011,450000,house,4
